CODIGO|DESCRIPCION|ABREVIATURA
51200 |                                                                                                    |P.COLGANTE AE       
51300 |                                                                                                    |P.COLGANTE AO       
51400 |                                                                                                    |R.DE LA MUJER       
51500 |                                                                                                    |R.AGUAS PROV.       
51600 |                                                                                                    |P.D LA LAGUNA       
51700 |                                                                                                    |C.OESTE XALEM       
51800 |                                                                                                    |C.OESTE X BV.       
51900 |                                                                                                    |P.VILLAVERDE        
04850 |PASAJE PUBLICO S/N. (48.50)- CORRE( S A N) S. PLANO 140111-                                         |PJE. PUBLICO        
08350 |PJE. PUBLICO S/N. (83.50) S-N- SEG. PLANO MCPAL. Nº 123920-                                         |PJE. PCO. S/N       
54500 |SARA PINASCO DE JULIERAC-(E-O) ORD.11702/10- (PUERTO)                                               |SARA PINASCO        
52000 |"RUTA NACIONAL Nº168 ""CIUDADES HERMANAS""                                                             "|RUTA 168            
52100 |CALLE INTERNA TERMINAL DE OMNIBUS                                                                   |CALLETERMINAL       
52200 |FUENTE DE LA CORDIALIDAD                                                                            |F.CORDIALIDAD       
52300 |MARTA ADELINA ZAMARO                                                                                |MARTA ZAMARO        
52400 |ITALIA ARGENTINA MARINI                                                                             |ITALIA MARINI       
52500 |ROSAUDA SCHWEIZER                                                                                   |R. SCHWEIZER        
52600 |ROSA CARMEN ALL                                                                                     |ROSA C. ALL         
52700 |SARA PINASCO DE JULLERAC DE BAJA YA EXISTE 545                                                      |SARA PINASCO        
52800 |RAQUEL NEGRO                                                                                        |RAQUEL NEGRO        
52900 |FARO COSTANERA                                                                                      |FAROCOSTANERA       
53000 |CICLOVIA                                                                                            |CICLOVIA            
53100 |LAVANDERAS DEL PUERTO                                                                               |LAVANDERAS P.       
53200 |FRIDA SHULTZ DE MANTOVANI                                                                           |FRIDA SHULTZ        
53300 |ELIZABETH J.GUILLAMON DE AGNELLINI                                                                  |E. GUILLAMON        
53400 |ANGELA TERESA VIGETTI                                                                               |A. VIGETTI          
53500 |CARMEN VICTORIA ROVITTI                                                                             |C. V. ROVITTI       
