CODIGO|ALTURADESDE|ALTURAHASTA
17370 | 4300| 4399
18550 | 3000| 3099
18700 | 3000| 3099
18550 | 3100| 3199
18550 | 2900| 2999
18700 | 2900| 2999
10675 | 9000| 9099
07450B| 5400| 5699
08850 | 1500| 1599
05000B| 4700| 4799
06170 | 3950| 3999
11525 | 6100| 6199
09200 | 8999| 9999
17300C| 2400| 2699
09875A| 8700| 8799
03400 | 2700| 3199
03400 | 3300| 4899
05850B| 3100| 3199
06225C| 4500| 4699
03450A| 3200| 3299
16330 | 4500| 4599
20100 | 3300| 3399
09400C| 9100| 9300
09475 | 9100| 9199
09600B| 9100| 9199
09675B| 9100| 9199
09875B| 9100| 9199
08000B| 5000| 10600
10475 | 8700| 8799
10485 | 8700| 8799
07050 | 7800| 7850
07700A| 3100| 3199
00000A| 2300| 4199
00250 | 7700| 7799
00375 | 3000| 3599
00400 | 7500| 7899
00575 | 3000| 3599
00600 | 6600| 8699
00600 | 8710| 9000
00700 | 4200| 4399
00725 | 0400| 0499
00750 | 4300| 4499
00775A| 3000| 3599
00775B| 3600| 3899
00785 | 3600| 3899
00800 | 6500| 8199
00900 | 4300| 4499
00925 | 4300| 4599
00975 | 3000| 3899
00985 | 3000| 3099
00985 | 3600| 3899
01000 | 6400| 8199
01050 | 8100| 8199
01125 | 4400| 4699
01175A| 3000| 3599
01175B| 3600| 3899
01200 | 6100| 8299
01250 | 8100| 8299
01300 | 4400| 4499
01325 | 4500| 4699
01375 | 3000| 3599
01400 | 6000| 7099
01400 | 7200| 8199
01450 | 7100| 7199
01475 | 4700| 7499
01575 | 3100| 3599
01600 | 4400| 4599
01600 | 5900| 8199
01625 | 3500| 4699
01700 | 3100| 3199
01700A| 3800| 4199
01725 | 0800| 0899
01800A| 3500| 4699
01800B| 5700| 8199
01900A| 3000| 3599
01900B| 3800| 4199
02000A| 3270| 4850
02000A| 5000| 5699
02000B| 5700| 8299
02100 | 2900| 4249
02125A| 0900| 0999
02125B| 1000| 1300
02150 | 3600| 3799
02200 | 3100| 6799
02300 | 2800| 3599
02300 | 3800| 4299
02350 | 3300| 3399
02350 | 3600| 3799
02400 | 2950| 3499
02400 | 4450| 8199
02450 | 5300| 5399
02450 | 6600| 6799
02450 | 8100| 8199
02500 | 2600| 4299
02550 | 3000| 3099
02550 | 3700| 3999
02600 | 3000| 6189
02600 | 6500| 8199
02650A| 5800| 5999
02650B| 6400| 6499
02700 | 2600| 4499
02750 | 3400| 3499
02800 | 2800| 5799
02800 | 6200| 8199
02900 | 2600| 4599
02925 | 1400| 1499
02950 | 3900| 3999
03000 | 3000| 5599
03000 | 5900| 8199
03050A| 8100| 8199
03050B| 5200| 5299
03100 | 2400| 4499
03200 | 3000| 5199
05050B| 4700| 4899
03250A| 6350| 6399
03250B| 7650| 7899
03650 | 8400| 8499
03300 | 2300| 4499
03350 | 3900| 3999
20100 | 3200| 3299
35560 | 0001| 9999
03430 | 8100| 8199
03450 | 7800| 7850
03500 | 2300| 4199
03500 | 4300| 4599
03550 | 4400| 4499
03600 | 2650| 4699
03600 | 4900| 7899
06850 | 7300| 7599
03700 | 2300| 4599
03800 | 2600| 4399
37280 | 0001| 9999
03900 | 2300| 4599
03950 | 3600| 3699
03950 | 4200| 4299
04000 | 2600| 8199
04025 | 4200| 10599
04050 | 7000| 7099
04100 | 2400| 4699
04200 | 2650| 8199
04200 | 8800| 8999
04250 | 5400| 5449
04300 | 2400| 3499
04300 | 3800| 4599
04400 | 2600| 8199
04400 | 8700| 8999
04450A| 2600| 3099
04450B| 5400| 5449
04500 | 2400| 4599
04530 | 4500| 4699
04550 | 3600| 3799
04550A| 4300| 4799
04570 | 4500| 4899
04600 | 2600| 4699
04600 | 5400| 9699
04600A| 1500| 2000
04650 | 7100| 7199
04650 | 7500| 7599
20150 | 6899| 6999
04675 | 3100| 3199
04700 | 2399| 4899
04750 | 2500| 2599
04750 | 4100| 4799
04800A| 2500| 3499
04800B| 3500| 4699
04800B| 5400| 8499
04850A| 4600| 4699
04850C| 5400| 5599
04850C| 5800| 5999
04850C| 6900| 6999
04870 | 1600| 1899
04875 | 2000| 2499
04900A| 2480| 3499
04900B| 3500| 4799
05000A| 1100| 1499
05000B| 2300| 3499
05000B| 5400| 9499
05000C| 3500| 5399
05000D| 10300| 10599
05000E| 1500| 2099
05050C| 4699| 5099
05050E| 4000| 4099
05050E| 5400| 5699
05050E| 5700| 5999
05050E| 7500| 7699
05050E| 9000| 9099
05050G| 10400| 10599
05050H| 8800| 8960
05070 | 5400| 5599
05080 | 5500| 5599
05100 | 2400| 4899
05125 | 0800| 2399
05125 | 3000| 3499
20950 | 4000| 4299
05200A| 7700| 9599
20900A| 4000| 4199
05200B| 10300| 10599
05250A| 6100| 6299
05250A| 6600| 6699
05250A| 9700| 9799
05250B| 10300| 10599
05250C| 8800| 9099
05275A| 3500| 10799
05275B| 2500| 2799
05275C| 5550| 5699
05275D| 6300| 6599
05275D| 7300| 8399
05300 | 2200| 4899
05400A| 1100| 4399
05400A| 4600| 4699
05400A| 5100| 5499
05400A| 5800| 6199
05400A| 6300| 7699
05400A| 7900| 9599
05400B| 10300| 10599
05430 | 6000| 6199
05450A| 3900| 3999
05450A| 6000| 6170
05450A| 6250| 6350
05450A| 6500| 6699
05450A| 7300| 7699
05450B| 10300| 10599
36525 | 0001| 9999
05500A| 2000| 3099
05500B| 3100| 3799
05525 | 4300| 4799
05530 | 1900| 1999
05550 | 3800| 4899
05570 | 1900| 2099
05600A| 1000| 5599
05600A| 5830| 6099
05600A| 6200| 9299
05600B| 10200| 10599
05650A| 2200| 2299
05650A| 3900| 3999
05650A| 6000| 6199
05650A| 6500| 6599
05650B| 10300| 10599
05675 | 3800| 10699
05700A| 1700| 2099
05700B| 2200| 3099
05700C| 3100| 4599
05750 | 1800| 1899
05800A| 0500| 0699
05800A| 1000| 3799
05800A| 4000| 9699
05800B| 10200| 10699
05825 | 0001| 0799
05830 | 7300| 7499
20100 | 3400| 3499
05850A| 7300| 8399
05850C| 10300| 10599
05875 | 3800| 5500
05875B| 6000| 6349
05900A| 1600| 1699
05900A| 1900| 2099
05900B| 2200| 4499
05900C| 1600| 1899
05950 | 2900| 2999
05975 | 1600| 1999
05985 | 1600| 2299
05985 | 2800| 3199
06000 | 0900| 3999
06000 | 4400| 5699
06000 | 5810| 10099
06025 | 2500| 2899
06025A| 3800| 3899
06025A| 4000| 4699
06025B| 3800| 4499
06050 | 4740| 5199
06050 | 5300| 5599
06050 | 6000| 6199
06050 | 6300| 6399
06050 | 6500| 8399
06100A| 2000| 4349
06100B| 1100| 2090
06150 | 3900| 3999
06150 | 4100| 4199
06200 | 0800| 4499
06200 | 4900| 10099
06225A| 0500| 0599
06225B| 3700| 4499
06225C| 3800| 4499
06230 | 9000| 9099
06250 | 3500| 3699
06250 | 4300| 4599
06250 | 5200| 5599
06250 | 6500| 6699
06250 | 7900| 8299
06270 | 9000| 9099
06275 | 0500| 0599
06300A| 2100| 3099
06300B| 3100| 3699
06300B| 3900| 4299
06300C| 1000| 2099
06350 | 4000| 4099
06400 | 0900| 4899
06400 | 5400| 9599
06400 | 10400| 10499
06425 | 0100| 0899
06425A| 3800| 4099
06450 | 3500| 3599
06450 | 4500| 4899
06450 | 5000| 5099
06450 | 6700| 7699
06485 | 3100| 3199
06500A| 0850| 2199
06500B| 2100| 3699
06500B| 4000| 4120
06600A| 0900| 4699
06600A| 4900| 5499
06625 | 0150| 0899
06650 | 4700| 4799
06650 | 7700| 7799
06675 | 4600| 5399
06700A| 0900| 2299
06700B| 2200| 3680
06800 | 0900| 6699
06800 | 7000| 9749
06800 | 10100| 10499
06825 | 0100| 0899
06825A| 7100| 7199
06850 | 1200| 1299
06850 | 4000| 4199
06850 | 5000| 5399
06850 | 5500| 5699
06850 | 5800| 6099
06850 | 6300| 6699
06850 | 7100| 7199
06900A| 0900| 2399
06900B| 2400| 3799
07000 | 0900| 2099
07000 | 2200| 3499
07000 | 3600| 7099
07000 | 7200| 7499
07000 | 7600| 9799
07000 | 10100| 10299
07000 | 10400| 10699
07025 | 0200| 0899
07025A| 2600| 3799
07025A| 3900| 4100
07025A| 4300| 5599
07050 | 3900| 3999
07050 | 1400| 1499
07050 | 4000| 4199
07050 | 4900| 5499
07050 | 7400| 7699
07075 | 3500| 4999
07100A| 0830| 2399
07100B| 2400| 3899
07150A| 0750| 0999
07150A| 1200| 2299
07150B| 2600| 2699
07200 | 0900| 3499
07200 | 4300| 9799
07200 | 10100| 10499
07225 | 0200| 0830
07250A| 1400| 1499
07250A| 1900| 1999
07250A| 2300| 2399
07250A| 4700| 4799
07250A| 5200| 5299
07250A| 5400| 5599
07250A| 6300| 6799
07250A| 7300| 7399
07250B| 3600| 3699
07250B| 4000| 4093
07250B| 4200| 4299
07275 | 3500| 4999
07300A| 0600| 2399
07300B| 2400| 3899
07350A| 2800| 2999
07350B| 3100| 3499
07400 | 0900| 1999
07400 | 2200| 3399
07400 | 4800| 10699
07425 | 0100| 0999
07450A| 3000| 4999
07450B| 2500| 2999
07450B| 5200| 5299
07450B| 5700| 6199
07450B| 6400| 7299
07475 | 3500| 4999
07500A| 0730| 2399
07500B| 2400| 3499
07550 | 0900| 0999
