codigo|codigo_intersectado
08275               |19750               
00400               |15100               
09100               |05800A              
03600               |07100A              
06025               |05250A              
01475               |14300               
03800               |08300               
10300               |07400               
02400               |11700               
07675B              |16770               
13700               |01475               
06200               |10700B              
05800A              |11900               
13100               |07000               
05000B              |12700               
06625               |00375               
25500P              |25200P              
09375               |01475               
10200               |17300B              
20900A              |05050G              
01600               |13500A              
11000               |19150               
18950               |14000A              
08275A              |06025A              
09400A              |04700               
15300               |12800               
13100               |04800B              
35300               |39800               
03500               |06600A              
07000               |02500               
07400               |15300               
06200               |03900               
12600               |18500A              
                    |07600               
03600               |11500A              
11100               |08000               
04700               |05000B              
07800               |10500               
06850               |14900               
33400               |41500               
05500B              |07000               
15900               |13870               
11900               |05800A              
06425               |00575               
16500               |08800               
03500               |08275C              
08600               |03900               
11700               |05050E              
09250A              |05700C              
07600               |14900               
19100B              |13200               
05000B              |15900               
13000               |19100B              
05400A              |14500B              
10500               |04000               
02150               |07800               
11850A              |16500               
02450               |                    
08100               |04000               
16500               |13600A              
25200P              |25100P              
05000B              |14300               
39100               |35850               
18700               |                    
15700               |03200               
11675A              |16700               
12900A              |07675B              
07600               |13300               
02800               |07700A              
13600B              |18950               
01000               |15500               
15300               |05275A              
03100               |07200               
12900A              |07400               
38300               |                    
16500               |07600               
13100               |06250               
02000B              |11500A              
07050               |09700               
10300               |02400               
04000               |06700A              
13430               |19350               
04400               |13500B              
11450B              |17770               
06000               |18100A              
05200A              |05100               
05800A              |11500B              
18700               |12000               
02300               |07400               
06400               |07500B              
09000               |15500               
00400               |15700               
06500B              |06000               
04530               |09400A              
08700               |02000A              
08600               |20700B              
06600A              |04500               
11675A              |16500               
38900               |35400B              
01400               |14700               
07200               |10300               
08900               |03200               
02200               |08100               
12600               |16570B              
10900               |03800               
18100B              |10285               
09400A              |04570               
17700               |05000B              
03200               |07150A              
17500               |08895               
05000E              |04875               
13275               |20100               
06800               |09500               
07675B              |11700               
12500               |05000B              
01600               |12900A              
11675A              |                    
                    |08800               
08400               |16100               
14300               |06450               
                    |15500               
07000               |09900A              
05125               |02000A              
08100               |08400               
11325               |05070               
14900               |08200               
13500A              |07400               
16700               |07600               
18100B              |09600               
07400               |03500               
14100B              |09400B              
03300               |05800A              
03800               |14500B              
13500A              |10275               
01700A              |08000               
07075               |                    
03600               |10100               
06400               |12100               
14400               |18500A              
08000               |01700A              
15100               |03200               
05400A              |                    
08300               |07450A              
14700               |04200               
06025B              |08475               
09500               |04400               
07600               |04700               
11500B              |05800A              
10000               |17350               
13100               |08600               
06700A              |02800               
11200               |15750               
13400B              |18700               
12700               |01000               
32175               |32225               
14100B              |06000               
16530A              |10400               
16930               |10200               
35000B              |39900               
06700B              |06000               
06000               |07900               
19900               |13600B              
35400B              |38900               
04000               |04025               
07250A              |12700               
06100A              |08000               
12000               |15500               
03900               |09000               
01400               |16150               
15900               |12000               
05000B              |06500B              
18300               |05400A              
34900               |40200               
05400A              |08300               
04400               |14700               
36500               |33000               
02200               |13100               
17300C              |05200A              
08400               |01900B              
07625               |00785               
09600               |18100B              
12600               |15950               
10925               |07200               
11675A              |13000               
04700               |04875               
06425               |00375               
05400A              |16700               
05050C              |09700               
35700B              |37625               
06200               |18550               
15100               |09000               
08000               |11100               
03200               |15500               
08100               |07450B              
02800               |14900               
08850               |16900A              
10600               |17750A              
00800               |14900               
14500A              |01475               
06500A              |03800               
08075               |07775               
14230               |19100B              
08400               |11900               
05200A              |04900A              
17300C              |05250C              
05675               |11700               
06400               |18500A              
14700               |11200               
03500               |05200A              
05000B              |06700B              
02800               |13300               
02500               |07800               
00800               |13300               
08700               |05000C              
10300               |07850               
08275               |12100               
18770               |14600               
15900               |01000               
03950               |07400               
09200               |04750               
37100               |35400A              
13300               |02200               
08800               |13300               
18150B              |11000               
05100               |09050               
07675B              |15300               
06625               |00575               
05275C              |14700               
05600A              |09700               
                    |07450A              
15300               |06400               
02700               |05600A              
11400               |15900               
18700               |13000               
14150               |03800               
07300A              |03400               
08800               |14900               
14150               |02450               
14300               |01000               
19750               |13275               
13150A              |02800               
12300               |06000               
10300               |07050               
07450B              |08050               
11400               |14300               
16700               |13600A              
04200               |09300               
05000B              |12300               
13500A              |07675B              
33200               |40700               
13700               |10800               
36600B              |40700               
37500               |34000               
11450B              |17100               
09400B              |13700               
07000               |03900               
13900               |07800               
37100               |34000               
06200               |02500               
09200               |04700               
07675C              |08925A              
06600A              |06300B              
03600               |10300               
35900A              |34600A              
04750               |05200A              
18300A              |09600               
20700B              |11050               
03000               |13500B              
11000               |19350               
06100A              |05400A              
14500B              |08800               
14100B              |                    
37100               |32600B              
07200               |05700C              
07000               |10700B              
00600               |14700               
05400A              |07100B              
13100               |07450B              
09000               |02700               
04200               |08100               
05125               |04800A              
07075               |07100B              
07725               |05675               
12700               |06000               
09800               |16100               
04000               |16100               
10800               |14100B              
04050               |13900               
15900               |13230               
13300               |07250A              
17300C              |05275A              
18700               |13800A              
03800               |12550               
11500B              |06200               
02400               |12500               
16300               |07800               
20950               |                    
39900               |35000B              
10400               |15900               
06200               |05700B              
12900A              |07200               
03100               |07400               
09800               |05525               
13800A              |18100A              
06000               |13700               
00975               |06825               
07100B              |07000               
35400B              |41500               
16570A              |10400               
06625               |01175A              
02300               |07200               
07025               |01575               
05500B              |07450B              
01600               |08700               
02800               |09500               
05900B              |09000               
15900               |13670               
07675B              |12500               
20700C              |                    
37400               |39900               
15900               |09400B              
13800A              |17500               
11700               |05275A              
25500P              |25450P              
13300               |05000B              
15500               |11600               
19750A              |10600               
07200               |11500A              
32400B              |37700               
15900               |06000               
06600A              |04900A              
02550               |08630               
21100               |02475               
13100               |08400               
12800               |16570B              
05600A              |15300               
12900A              |04600               
07350B              |06800               
04025               |15950               
13700               |11200               
15700               |03400               
07000               |08900               
06800               |04700               
14300               |09400B              
08925A              |07675C              
35300               |36200               
06400               |11300B              
05400A              |10500               
08500               |07450A              
05800A              |07350A              
25450P              |25500P              
06200               |09900A              
16550B              |12800               
08900               |01625               
35100               |39800               
13500B              |04200               
04800B              |08900               
10300               |07200               
14900               |05000B              
11200               |13100               
07900               |03000               
13800B              |20300B              
14700               |10800               
02200               |08500               
04000               |07500A              
20500C              |14000B              
06050               |10100               
38800G              |34500               
09200               |04570               
17300C              |05050H              
12900A              |06050               
25100P              |25600P              
14300               |06000               
10285               |18100B              
02100               |07400               
18950               |11000               
33300               |32200A              
05500A              |05600A              
12800               |15950               
06900B              |06800               
10000               |16970               
11675A              |16530B              
12400               |15900               
13400A              |17900B              
02000A              |07300A              
06400               |05500A              
39400               |34900               
06100B              |03600               
07725               |05600A              
