codigo_postal|subpostal|descripcion|descripcion_provincia
3000||SANTA FE                                                    |SANTA FE                                                    
1688||TESEI                                                       |BUENOS AIRES                                                
||20 DE JUNIO ,AP.                                            |BUENOS AIRES                                                
3013||SAN CARLOS CENTRO                                           |SANTA FE                                                    
3074||AGUARÁ GRANDE                                               |SANTA FE                                                    
||MANUCHO                                                     |SANTA FE                                                    
||CAMPO PIAGGIO                                               |SANTA FE                                                    
||CARMEN DEL SAUCE                                            |SANTA FE                                                    
||CERRITO                                                     |BUENOS AIRES                                                
||GIL                                                         |BUENOS AIRES                                                
||MONROE                                                      |BUENOS AIRES                                                
||LA VICUÑA                                                   |CHACO                                                       
||DOLAVON                                                     |CHUBUT                                                      
||SAUCE                                                       |CORRIENTES                                                  
||DURAZNO                                                     |ENTRE RIOS                                                  
||ESPEJO                                                      |MENDOZA                                                     
||MONTEAGUDO                                                  |TUCUMAN                                                     
5008||B. PROVIDENCIA                                              |CORDOBA                                                     
5012||PALMAR                                                      |CORDOBA                                                     
5014||BARRIO MAIPU                                                |CORDOBA                                                     
1849||ALMIRANTE BROWN ,EST. ADROGUE                               |BUENOS AIRES                                                
1714||ITUZAINGO                                                   |BUENOS AIRES                                                
1888||VARELA, FLORENCIO                                           |BUENOS AIRES                                                
8400||SAN CARLOS DE BARILOCHE                                     |RIO NEGRO                                                   
1923||BERISSO                                                     |BUENOS AIRES                                                
5009||VILLA DE LAS ROSAS                                          |CORDOBA                                                     
||CEPEDA                                                      |SANTA FE                                                    
||COLONIA BICHA                                               |SANTA FE                                                    
3561||AVELLANEDA ,EST.EWALD                                       |SANTA FE                                                    
||DUGGAN                                                      |BUENOS AIRES                                                
||COLONIA BIGAND                                              |SANTA FE                                                    
1708||MORON                                                       |BUENOS AIRES                                                
1636||OLIVOS                                                      |BUENOS AIRES                                                
||COLONIA CLARA                                               |SANTA FE                                                    
||COLONIA DOS ROSAS Y LA LEGUA                                |SANTA FE                                                    
||CASTELLANOS, AARON ,EST.CASTELLANOS                         |SANTA FE                                                    
||COLONIA DURÁN                                               |SANTA FE                                                    
||CHATEAUBRIAND ,EST.MURPHY                                   |SANTA FE                                                    
||COLONIA MACIAS                                              |SANTA FE                                                    
||CORONEL ROSETTI                                             |SANTA FE                                                    
||COLONIA MARGARITA                                           |SANTA FE                                                    
||DURHAM ,AP.                                                 |SANTA FE                                                    
||EL CANTOR ,EST.                                             |SANTA FE                                                    
||EL JARDIN                                                   |SANTA FE                                                    
||COLONIA SAN JOSE                                            |SANTA FE                                                    
||CORONEL DOMINGUEZ                                           |SANTA FE                                                    
||HUGHES                                                      |SANTA FE                                                    
||EL ARAZA                                                    |SANTA FE                                                    
||EMPALME SAN CARLOS                                          |SANTA FE                                                    
||FIDELA                                                      |SANTA FE                                                    
||FORTIN OLMOS                                                |SANTA FE                                                    
||HIPATIA                                                     |SANTA FE                                                    
||ITUZAINGO                                                   |SANTA FE                                                    
||MERCEDITAS                                                  |SANTA FE                                                    
||RASTREADOR FOURNIER ,EST.                                   |SANTA FE                                                    
||JACINTO L. ARAUZ                                            |SANTA FE                                                    
||RUNCIMAN                                                    |SANTA FE                                                    
||JUAN DE GARAY                                               |SANTA FE                                                    
||LA SARITA                                                   |SANTA FE                                                    
||LAS GARZAS                                                  |SANTA FE                                                    
||LOS LAURELES                                                |SANTA FE                                                    
||SANTA EMILIA                                                |SANTA FE                                                    
||MARIA LUISA                                                 |SANTA FE                                                    
||TARRAGONA                                                   |SANTA FE                                                    
||MONTE OSCURIDAD                                             |SANTA FE                                                    
||TEODELINA ,EST.                                             |SANTA FE                                                    
||TORRES, MIGUEL                                              |SANTA FE                                                    
||VILLA ESTELA                                                |SANTA FE                                                    
||MURPHY                                                      |SANTA FE                                                    
||AERO CLUB ARGENTINO                                         |SANTA FE                                                    
||PIÑERO                                                      |SANTA FE                                                    
||PUEBLO ESTHER                                               |SANTA FE                                                    
||ANTARTIDA ARGENTINA ,EST.                                   |SANTA FE                                                    
||OMBU                                                        |SANTA FE                                                    
||PUJATO NORTE                                                |SANTA FE                                                    
||RIVADAVIA                                                   |SANTA FE                                                    
||SAN AGUSTIN                                                 |SANTA FE                                                    
3022||SANTA ROSA                                                  |SANTA FE                                                    
7600||MAR DEL PLATA                                               |BUENOS AIRES                                                
||GRANADERO BLAS BARGAS ,AP.                                  |SANTA FE                                                    
||GRANEROS ,EST.                                              |SANTA FE                                                    
||HUME ,EST.EL GAUCHO                                         |SANTA FE                                                    
||SAN BERNARDO (SAN JUSTO)                                    |SANTA FE                                                    
||LUDUEÑA ,EST.                                               |SANTA FE                                                    
||MONTE FLORES                                                |SANTA FE                                                    
||NUEVO ALBERDI ,EST.                                         |SANTA FE                                                    
||SAN MARIANO                                                 |SANTA FE                                                    
||PUEBLO MUÑOZ ,EST.BERNARD                                   |SANTA FE                                                    
||PUEBLO NUEVO                                                |SANTA FE                                                    
||SANTA MARIA CENTRO                                          |SANTA FE                                                    
||SORRENTO ,EST.                                              |SANTA FE                                                    
||SANTA MARIA NORTE                                           |SANTA FE                                                    
||SASTRE Y ORTIZ                                              |SANTA FE                                                    
||VILLA AMERICA                                               |SANTA FE                                                    
||VILLA DIEGO                                                 |SANTA FE                                                    
2124||VILLA GOBERNADOR GALVEZ                                     |SANTA FE                                                    
||VILLA SAN JOSE                                              |SANTA FE                                                    
2500||COLONIA CHRISTOPHERSEN                                      |SANTA FE                                                    
||LANDETA                                                     |SANTA FE                                                    
||LAS BANDURRIAS                                              |SANTA FE                                                    
||ADELA                                                       |SANTA FE                                                    
||LAS PETACAS                                                 |SANTA FE                                                    
||ARROYO DEL REY                                              |SANTA FE                                                    
||LOS CARDOS                                                  |SANTA FE                                                    
||COLMENA                                                     |SANTA FE                                                    
||COLONIA ELLA                                                |SANTA FE                                                    
||DOCTOR BARROS PAZOS                                         |SANTA FE                                                    
||MARIA SUSANA                                                |SANTA FE                                                    
||EL SOMBRERITO ,EST.PAUL GROUSSAC                            |SANTA FE                                                    
||FLOR DE ORO                                                 |SANTA FE                                                    
||PIAMONTE                                                    |SANTA FE                                                    
||GUASUNCHO                                                   |SANTA FE                                                    
||INGENIERO CHANOURDIE                                        |SANTA FE                                                    
||KILOMETRO 403 ,EMB.                                         |SANTA FE                                                    
||KILOMETRO 408 ,AP.                                          |SANTA FE                                                    
||KILOMETRO 41 ,EMB.                                          |SANTA FE                                                    
||LA RESERVA                                                  |SANTA FE                                                    
||TRAILL                                                      |SANTA FE                                                    
||LAS GRAZAS                                                  |SANTA FE                                                    
||MOCOVI                                                      |SANTA FE                                                    
||MOLINAS, NICANOR E.                                         |SANTA FE                                                    
||MOUSSY                                                      |SANTA FE                                                    
||PUERTO OCAMPO                                               |SANTA FE                                                    
||PUERTO PIRACUACITO                                          |SANTA FE                                                    
||PUERTO RECONQUISTA                                          |SANTA FE                                                    
||CULULU                                                      |SANTA FE                                                    
||TACUARENDI ,EMB.KILOMETRO 421                               |SANTA FE                                                    
3029||ELISA                                                       |SANTA FE                                                    
3083||GRUTLY                                                      |SANTA FE                                                    
3081||HUMBOLDT                                                    |SANTA FE                                                    
3009||LAS TUNAS                                                   |SANTA FE                                                    
||CAÑADA RICA ,EST.                                           |SANTA FE                                                    
3023||PROGRESO                                                    |SANTA FE                                                    
||SAN CARLOS NORTE                                            |SANTA FE                                                    
