codigo|descripcion|abreviatura
75320|DEL CAMINANTE|DEL CAMINANTE
60850|LAMAS INTENDENTE LUIS|INT. LAMAS
36652|CARRASCO OMAR|OMAR  CARRASCO
80480|QOM|QOM
80490|QOMPI|QOMPI
90380|TAREGUEC|TAREGUEC
43520|COSRAGRANDE|COSRAGRANDE
82670|RIOS ANTONIO|A. RIOS
75322|PASEO DE LAS ARTES|DE LAS ARTES
30600|BLANDENGUES|BLANDENGUES
30650|BLANES JUAN MANUEL|BLANES
30700|BLANQUE PEDRO|BLANQUE
30750|BLANQUI ANDRES|BLANQUI
30800|BLOMBERG HECTOR PEDRO|BLOMBERG
30850|BLOTTA ERMINIO ESCULTOR|BLOTTA
30900|BOEDO MARIANO|BOEDO
30950|BOERO|BOERO
31000|BOGADO CNEL. FELIX JOSE|BOGADO
31050|BOGOTA|BOGOTA
31100|BOLIVAR SIMON|BOLIVAR
36100|CARCARAÑA|CARCARAÑA
36150|CARCOVA ERNESTO DE LA|CARCOVA
36200|CARDARELLI|CARDARELLI
36250|CARHUE|CARHUE
36300|CARLES|CARLES
31150|BOLIVIA|BOLIVIA
31200|BOLONIA|BOLONIA
31250|BOMAN ERIC|BOMAN
39750|CHARRUA EL|EL CHARRUA
39800|CHARRUA|CHARRUA
39850|CHASSAING JUAN|CHASSAING
39900|CHAVEZ JORGE|CHAVEZ
39950|CHAZARRETA ANDRES|CHAZARRETA
31300|BONPLAND AMADO|BONPLAND
31400|BOQUERON|BOQUERON
31450|BORDABEHERE DR. ENZO|BORDABEHERE
31500|BOSCO JUAN DON|DON BOSCO
31550|BOSTON|BOSTON
31600|BOUCHARD HIPOLITO|BOUCHARD
31650|BOYD WALKER HEBERTO|BOYD WALKER
31700|BRAILLE LUIS|L. BRAILLE
31745|BRANDONI HIGINIO|BRANDONI
31750|BRANDSEN|BRANDSEN
31800|BRASIL|BRASIL
31850|BRASILIA|BRASILIA
31900|BRASSEY TOMAS|BRASSEY
31950|BRAVARD AUGUSTO|BRAVARD
32000|BRAZO LARGO|BRAZO LARGO
