codigo|alturadesde|alturahasta|bis|letracalle
3055|2401|2499|false|
3200|3101|3399|false|
3210|4101|4499|false|
3220|3101|3199|false|
3250|4501|4599|false|C
3250|4501|4599|false|D
3300|3501|3900|false|
3350|4600|5099|false|
3400|3001|3099|false|
3400|3501|3599|false|
3450|4601|4799|false|
3500|2601|2699|false|
3600|2801|3900|false|
3650|4601|4799|false|
3700|2801|3049|false|
3700|3100|3499|false|
3750|4401|4599|false|
3800|3001|3099|false|
4001|4701|4799|false|
4002|3001|3049|false|
4003|3901|3999|false|
4004|3801|3999|false|
4005|3901|3999|false|
4006|2601|2799|false|
4009|4101|4199|false|
4012|2601|2699|false|
4014|2501|2599|false|
4050|2901|3099|false|
4100|2901|3099|false|
4150|2901|3099|false|
4200|2901|3099|false|
4250|2901|3099|false|
4300|2901|3099|false|
4350|2901|3099|false|
4400|2901|3099|false|
4500|4401|5099|false|
7665|4001|4199|false|
7666|2701|2999|false|
7667|3501|4099|false|
7668|2701|2799|false|
7669|3901|4099|false|
7670|3301|4099|false|
7671|3901|4099|false|
7672|3101|3199|false|
7674|3101|3199|false|
4550|4401|5099|false|
7677|2701|2799|false|
4600|4001|4199|false|
4650|3701|3899|false|
4650|4001|4199|false|
4700|4001|4199|false|
4750|4001|4199|false|
4800|4001|4199|false|
4850|4001|4399|false|
4850|4401|4699|false|B
4900|4101|4199|false|
4950|4101|4199|false|
5000|4201|4699|false|
5100|2701|3099|false|
5150|3001|3199|false|
5200|2701|3099|false|
5200|3101|3399|false|
5250|3001|3199|false|
5300|2301|2999|false|
5350|2301|2999|false|
5400|2701|2999|false|
5450|2701|2999|false|
5500|2701|2999|false|
5650|1301|1699|false|
5800|2401|2599|false|
5850|2001|2149|false|
5850|2150|2199|false|
5900|1801|1899|false|
5950|3101|3199|false|
5950|3301|4099|false|
6000|3101|3199|false|
6000|3301|4099|false|
6100|1901|1999|false|
6150|2301|2499|false|
6200|2501|2699|false|
6250|2301|2499|false|
6300|3001|3499|false|
6350|2301|2899|false|
6350|3101|3499|false|
6400|2001|2399|false|
6450|3901|4199|false|
6500|3501|4199|false|
6550|2301|2699|false|
6600|4401|4699|false|B
6650|4401|4699|false|B
6700|4501|4699|false|
6800|3101|3149|false|
6850|3101|3199|false|
6850|3301|3399|false|
6850|3501|3899|false|
6900|3101|3199|false|
6900|3301|4099|false|
6950|1701|1799|false|
7000|2501|2599|false|
7100|1801|1899|false|
7150|4201|4399|false|
7200|4201|4399|false|
7240|1901|2399|false|
7300|3801|3999|false|
7350|3101|3199|false|
7350|3301|3899|false|
7400|2701|2899|false|
7450|1801|1899|false|
7650|2501|2599|false|
7651|3101|3199|false|
7653|1201|1399|false|
7654|2001|2099|false|
7655|1801|1899|false|B
7656|2001|2099|false|
7657|1301|1399|false|C
7658|2001|2099|false|
7660|2001|2099|false|
7662|2001|2099|false|
7663|4001|4199|false|
7664|2701|3299|false|
98505|1501|1699|true|
9200|6701|6749|false|
9200|6970|6999|false|
9200|7101|7299|false|
9250|1001|1099|true|
9500|7801|7899|false|
9650|901|999|true|
10250|1201|1299|true|
10350|901|999|true|
10400|901|999|true|
