codigocalle|codigointerseccion
11|12
11|14
11|18
11|46810
11|58480
12|11
12|29150
13|91750
14|11
14|29150
17|43330
17|48450
17|83250
18|11
18|58480
50|84600
50|87850
100|84600
100|87850
147|43250
147|74950
150|26000
150|86150
200|500
200|48450
200|65730
250|26000
250|86150
300|26000
300|86150
400|26000
400|86150
450|87850
450|89200
500|200
500|26000
550|32450
550|38650
600|56350
600|58950
700|36400
700|74100
700|83650
750|850
750|93952
800|36400
800|47150
800|74100
800|83650
800|85800
850|750
850|44550
850|60650
900|1100
900|1200
900|1300
900|1400
900|1900
900|48450
900|67200
900|69400
950|1100
950|1200
950|1300
950|1400
950|1900
950|48450
950|67200
950|69400
1000|28800
1000|84400
1000|93951
1000|93952
1050|1500
1050|60650
1100|900
1100|950
1100|26150
1100|35550
1100|60200
1150|1500
1150|2000
1150|2100
1150|33800
1150|40850
1150|59500
1150|60650
1150|85800
1200|900
1200|950
1200|26150
1200|35550
1200|60200
1250|1550
1250|55550
1300|900
1300|950
1300|26150
1300|35550
1300|60200
1400|900
1400|950
1400|26150
1400|35550
1400|60200
1450|1550
1450|55550
1500|1050
1500|1150
1500|2261
1500|79550
1550|1250
1550|1450
1550|56700
1550|64750
1550|79550
1550|83850
1750|2268
1750|22950
1750|27350
1750|29650
1750|31400
1750|32450
1750|42250
1750|48200
1750|52000
1750|57850
1750|61900
1750|63450
1750|64350
1750|73750
1750|85100
1750|88200
1750|93951
1850|2050
1900|900
1900|950
1900|26150
1900|35550
1900|60200
1950|2262
1950|2263
1950|2268
1950|27350
1950|63450
1950|64350
1950|85100
1950|93951
2000|1150
2000|2261
2000|79550
2020|2262
2020|27350
2020|57850
2050|1850
2050|79550
2060|44550
2060|60650
2100|1150
2100|57310
2150|40850
2150|73500
2150|99800
2200|93952
2260|28250
2260|33000
2260|50300
2260|70300
2260|76600
2261|1500
2261|2000
2262|1950
2262|2020
2262|27350
2262|28800
2263|1950
2263|2264
2263|2266
2263|2268
2263|31400
2263|63450
2264|2263
2264|31400
2266|2263
2266|31400
2268|1750
2268|1950
2268|2263
2268|29650
2268|31400
2268|85100
2350|20950
2350|34500
2358|5550
2358|45250
2358|54150
2358|81300
2358|97200
2360|41450
2360|56250
2362|52350
2362|66400
2364|52350
2364|66400
2447|91000
2447|94400
2449|2671
2449|51250
2449|85450
2450|53450
2450|60000
2451|46850
2451|51250
2451|85450
2451|94450
2500|60000
2500|72900
2501|46850
2501|51250
2501|94450
2550|53450
2550|60000
2550|72900
2600|53450
2600|60000
2600|72900
2650|56600
2650|70750
2650|91700
2662|56850
2662|70750
2662|91700
2662|92200
2664|55100
2664|70750
2671|2449
2671|22350
2671|81650
2700|2750
2700|58150
2750|2700
2750|2800
2800|2750
2800|58150
2810|2903
2810|38700
2850|27300
2850|27750
2850|46400
2850|50900
2850|54650
2850|65400
2850|77960
2860|2903
2900|46400
2900|50900
2900|65400
2902|2903
2902|38700
2902|68680
2903|2810
2903|2860
2903|2902
3000|28950
3000|56300
3000|82600
3000|84100
3055|72400
3100|3150
3100|22450
3100|37650
3100|60650
3100|83450
3150|3100
3150|23300
3200|3210
3200|3230
3200|52150
3200|52850
3210|3200
3210|3220
3210|23800
3210|27300
3210|28950
3210|62500
3210|64850
3210|82350
3210|93600
3220|3210
3220|3230
3230|3200
3230|3220
3230|28950
3230|62500
3230|93600
3250|3400
3250|51550
3250|82850
3250|95450
3300|3350
3300|3450
3300|4001
3300|27300
3350|3300
3350|3600
3350|4001
3350|60800
3350|65550
3350|92950
3400|3250
3400|33550
3400|51650
3400|89700
3450|3300
3450|65550
3450|92950
3500|34200
3500|83450
3600|3350
3600|24200
3600|27300
3600|43850
3600|51650
3600|60650
3600|94400
3650|59000
3650|65550
3650|92950
3700|40350
3700|43850
3700|51650
3700|57950
3700|60650
3700|61100
3700|62900
3700|77900
3700|89700
3700|94400
3750|70500
3750|92950
3750|95450
3850|69650
3850|96500
3900|27300
3900|40350
3900|43850
3900|51650
3900|70500
3900|78750
3900|85850
4001|3300
4001|3350
4001|65550
4002|40350
4002|89700
4003|80800
4003|82750
4004|16800
4004|22450
4004|37650
4004|61600
4005|80800
4050|4450
4050|4500
4050|4550
4100|4450
4100|4500
4100|4550
4150|4450
4150|4500
4150|4550
4200|4450
4200|4500
4200|4550
4250|4450
4250|4500
4250|4550
4300|4450
4300|4500
4300|4550
4350|4450
4350|4500
4350|4550
4400|4450
4400|4500
4400|4550
4450|4050
4450|4100
4450|4150
4450|4200
4450|4250
4450|4300
4450|4350
4450|4400
4450|6350
4450|34501
4500|4050
4500|4100
4500|4150
4500|4200
4500|4250
4500|4300
4500|4350
4500|4400
4550|4050
4550|4100
4550|4150
4550|4200
4550|4250
4550|4300
4550|4350
4550|4400
4600|44250
4600|83200
4650|21650
4650|44250
4650|55050
4650|62300
4650|77700
4650|83200
4700|44250
4700|83200
4750|44250
4750|83200
4800|44250
4800|83200
4850|7300
4850|34500
4850|44250
4850|83200
4900|44250
4900|55050
4950|44250
4950|55050
5000|7240
5000|34500
5000|44250
5100|5150
5100|5250
5100|5950
5100|6000
5100|6850
5100|6900
5100|7651
5100|29750
5100|53400
5100|60700
5100|75850
5100|78950
5100|95100
5150|5100
5150|5200
5200|5150
5200|5250
5200|5950
5200|6000
5200|6850
5200|6900
5200|7651
5200|7670
5200|29750
5200|34050
5200|53400
5200|55050
5200|60700
5200|75850
5200|95100
5250|5100
5250|5200
5300|27900
5300|31600
5300|40750
5300|51050
5300|55000
5300|88900
5350|5400
5350|27900
5350|31600
5350|40750
5350|51050
5350|55000
5350|88900
5400|5350
5400|31600
5400|55000
5450|31600
5450|55000
5500|31600
5500|55000
5550|2358
5550|23900
5550|41050
5550|43500
5550|43950
5550|54850
5550|67100
5550|68650
5550|73200
5550|81300
5550|92800
5600|23900
5600|67100
5600|68650
5600|81300
5600|92800
5650|23900
5650|67100
5650|68650
5650|81300
5650|92800
5700|23900
5700|67100
5700|68650
5700|81300
5700|92800
5750|23900
5750|64050
5750|67100
5750|68650
5750|81300
5750|92800
5800|7050
5800|37200
5800|53100
5850|5900
5850|7100
5850|7450
5850|38150
5850|53100
5900|5850
5900|53700
5950|5100
5950|5200
5950|7664
5950|7666
5950|42450
5950|44250
5950|73150
5950|85200
6000|5100
6000|5200
6000|7664
6000|7666
6000|7668
6000|44250
6000|73150
6000|85200
6050|61350
6050|89850
6100|61350
6100|89850
6150|27900
6150|40750
6150|51050
6200|31600
6200|40750
6200|88900
6250|27900
6250|40750
6250|51050
6300|55000
6300|85200
6350|4450
6350|27900
6350|31600
6350|40750
6350|85200
6350|88900
6400|38150
6400|53100
6400|78450
6450|7500
6450|44250
6500|44250
6500|85200
6550|27900
6550|31600
6550|88900
6600|7300
6600|34500
6650|7300
6650|34500
6700|34500
6800|95100
6850|5100
6850|5200
6850|7666
6850|7668
6850|73150
6850|78950
6850|85200
6900|5100
6900|5200
6900|7664
6900|7666
6900|7668
6900|44250
6900|73150
6900|85200
6950|61350
6950|64050
7000|7050
7050|5800
7050|7000
7050|7653
7050|7654
7050|7655
7050|7656
7050|7657
7050|7658
7050|7660
7050|7662
7050|27900
7050|37200
7050|38150
7050|52450
7050|53700
7050|63100
7050|80150
7050|88950
7050|96100
7100|5850
7100|53700
7100|61350
7150|99900
7200|44250
7240|5000
7240|99900
7300|4850
7300|6600
7300|6650
7350|26400
7350|41150
7350|61550
7350|68500
7350|73150
7350|74600
7350|84950
7350|85200
7400|31600
7400|66500
7400|94900
7450|5850
7450|61350
7500|6450
7500|34500
7500|44250
7650|54850
7650|99900
7651|5100
7651|5200
7653|7050
7653|32950
7653|88950
7654|7050
7654|7655
7654|37200
7655|7050
7655|7654
7656|7050
7656|37200
7657|7050
7657|7662
7658|7050
7658|37200
7660|7050
7660|38150
7662|7050
7662|7657
7662|38150
7663|7664
7663|44250
7663|83200
7664|5950
7664|6000
7664|6900
7664|7663
7664|7665
7664|7667
7664|7669
7664|7670
7664|7671
7664|34050
7664|58550
7664|60700
7664|75850
7664|95100
7665|7664
7665|44250
7665|83200
7666|5950
7666|6000
7666|6850
7666|6900
7666|7670
7666|60700
7666|75850
7667|7664
7667|44250
7667|73150
7667|85200
7668|6000
7668|6850
7668|6900
7669|7664
7669|44250
7669|73150
7670|5200
7670|7664
7670|7666
7670|29750
7670|44250
7670|73150
7670|85200
7671|7664
7671|44250
7671|73150
7672|26400
7672|68500
7674|26400
7674|68500
7700|7950
7700|8050
7700|8150
7700|8250
7700|86000
7700|90450
7750|11250
7750|11300
7750|38800
7750|71350
7800|7950
7800|8050
7800|8150
7800|8250
7800|8350
7800|8450
7800|8550
7800|8600
7800|8650
7800|8750
7800|8850
7800|8950
7800|20700
7800|22550
7800|52900
7800|54250
7800|86000
7800|90450
7800|96300
7850|7900
7850|8000
7850|38800
7850|71350
7900|7850
7900|8250
7900|11300
7900|54250
7900|86000
7900|90450
7900|96300
7950|7700
7950|7800
7950|21700
7950|38800
7950|86000
8000|7850
8000|8250
8000|46900
8000|54250
8000|86000
8000|90450
8000|96300
8050|7700
8050|7800
8050|38800
8100|8450
8100|8550
8100|8600
8100|8650
8100|8750
8100|8950
8100|20700
8100|22550
8100|52900
8150|7700
8150|7800
8150|38800
8200|8450
8200|8550
8200|8600
8200|8650
8200|8750
8200|8950
8200|20700
8200|22550
8200|52900
8250|7700
8250|7800
8250|7900
8250|8000
8250|38800
8250|54250
8250|71350
8300|8450
8300|8550
8300|8600
8300|8650
8300|8750
8300|8950
8300|20700
8300|22550
8300|52900
8350|7800
8350|38800
8400|8450
8400|8550
8400|8600
8400|8650
8400|8750
8400|8850
8400|8950
8400|20700
8400|22550
8450|7800
8450|8100
8450|8200
8450|8300
8450|8400
8450|8500
8450|71350
8500|8450
8500|8550
8500|8600
8500|8650
8500|8750
8500|8850
8500|8950
8500|20700
8500|22550
8550|7800
8550|8100
8550|8200
8550|8300
8550|8400
8550|8500
8550|71350
8600|7800
8600|8100
8600|8200
8600|8300
8600|8400
8600|8500
8600|8700
8600|8800
8600|8900
8600|9000
8600|9400
8600|53450
8600|60000
8600|71350
8600|87750
8650|7800
8650|8100
8650|8200
8650|8300
8650|8400
8650|8500
8650|8700
8650|8800
8650|8900
8650|9000
8650|9400
8650|53450
8650|60000
8650|71350
8650|87750
8700|8600
8700|8650
8700|8750
8700|8850
8700|8950
8700|64550
8750|7800
8750|8100
8750|8200
8750|8300
8750|8400
8750|8500
8750|8700
8750|8800
8750|8900
8750|9000
8750|9400
8750|53450
8750|60000
8750|71350
8750|87750
8800|8600
8800|8650
8800|8750
8800|8850
8800|8950
8800|11050
8800|64550
8850|7800
8850|8400
8850|8500
8850|8700
8850|8800
8850|8900
8850|9000
8850|9400
8850|53450
8850|60000
8850|71350
8850|87750
8900|8600
8900|8650
8900|8750
8900|8850
8900|8950
8900|11050
8900|64550
8950|7800
8950|8100
8950|8200
8950|8300
8950|8400
8950|8500
8950|8700
8950|8800
8950|8900
8950|9000
8950|9400
8950|11321
8950|27900
8950|53450
8950|60000
8950|69500
8950|71350
8950|87750
9000|8600
9000|8650
9000|8750
9000|8850
9000|8950
9000|11050
9000|64550
9100|11150
9100|11200
9100|31150
9100|35250
9100|41350
9100|64800
9100|67750
9100|71500
9200|11150
9200|41350
9200|64800
9200|67750
9200|71500
9200|79900
9250|53450
9250|58450
9250|92850
9300|11150
9300|11200
9300|31150
9300|35250
9300|41350
9300|64800
9300|67750
9300|71500
9400|8600
9400|8650
9400|8750
9400|8850
9400|8950
9400|11330
9400|11334
9400|11336
9400|11340
9400|11342
9400|53450
9400|64550
9500|86000
9550|27400
9550|33700
9550|39500
9550|51800
9550|58450
9550|64950
9550|66000
9550|72100
9550|87750
9600|10450
9600|10550
9600|33350
9600|41350
9600|41550
9600|44300
9600|46900
9600|79900
9600|86000
9600|90450
9650|51800
9650|58450
9700|10450
9700|41550
9700|86000
9700|90450
9750|60000
9800|10450
9800|41550
9800|86000
9800|90450
9850|60000
9850|91400
9900|10450
9900|41550
9900|86000
9900|90450
9950|60000
9950|91400
10000|46900
10000|92310
10000|94350
10200|46900
10200|92310
10200|94350
10250|91400
10350|51800
10350|58450
10400|51800
10400|58450
10450|9600
10450|9700
10450|9800
10450|9900
10450|66000
10500|20700
10500|53450
10500|55750
10500|59650
10500|60000
10500|65450
10500|70950
10500|71350
10500|81850
10500|87750
10550|9600
10550|66000
10600|53450
10600|58450
10600|59650
10600|60000
10600|65450
10600|71350
10850|11000
10850|86000
10950|11000
10950|86000
11000|10850
11000|10950
11000|53450
11050|8800
11050|8900
11050|9000
11050|87750
11100|34500
11100|34501
11150|9100
11150|9200
11150|9300
11150|66000
11150|87750
11170|33350
11170|46900
11200|9100
11200|9300
11230|33350
11230|46900
11250|7750
11250|38800
11250|71350
11250|88950
11250|93950
11250|93952
11270|33350
11270|46900
11300|7750
11300|7900
11300|38800
11300|46900
11300|71350
11310|33350
11310|46900
11320|32800
