codigoPostal|codigoSubPostal|descripcion|provincia
4434|1|ANTA|A
4449|1|AGUA SUCIA|A
4446|1|ALGARROBAL|A
4434|2|ANTA-PIQUETE DE ANTA|A
4449|2|LUIS BURELA|A
4446|2|CEIBALITO|A
4446|3|CHA#AR MUYO|A
4449|3|CORONEL MOLLINEDO|A
4446|4|CORONEL OLLEROS|A
4448|1|CORONEL VIDT|A
4449|4|EL BORDO|A
4449|5|EL CARMEN|A
4452|1|EL QUEBRACHAL|A
4452|2|EL VENCIDO|A
4434|3|EL YESO|A
4449|6|ESPINILLO|A
4452|3|GAONA|A
4449|7|GENERAL PIZARRO|A
4448|2|JOAQUIN V GONZALEZ|A
4448|3|KILOMETRO 1088|A
4449|8|KILOMETRO 1104|A
4452|4|KILOMETRO 1152|A
4537|1|LA ESTRELLA|A
4448|4|LAGUNA BLANCA|A
4446|5|LAGUNITA|A
4449|9|LAS FLORES|A
4449|10|LAS LAJITAS|A
4452|5|MACAPILLO|A
4452|6|MANGA VIEJA|A
4452|7|NSTRA SRA DE TALAVERA|A
4449|11|PALERMO|A
4434|4|PASO DE LA CRUZ|A
4449|12|PIQUETE CABADO|A
4449|13|POZO GRANDE|A
4452|8|PRINGLES|A
4449|14|ROSARIO DEL DORADO|A
4449|15|SANTO DOMINGO|A
4449|16|APOLINARIO SARAVIA|A
4434|5|SAUCE BAJADA|A
4446|6|SAUZAL-CHORROARIN|A
4452|9|SIMBOLAR|A
4452|10|TOLLOCHE|A
4417|1|CACHI|A
4419|1|LA PAYA|A
4415|1|PALERMO OESTE|A
4415|2|PAYOGASTA|A
4419|2|SAN JOSE DE ESCALCHI|A
4415|3|TONCO|A
4427|1|CAFAYATE|A
4427|2|LAS CANCHAS|A
4427|3|LOROHUASI|A
4141|1|TOLOMBON|A
4427|4|YACOCHUYA|A
4126|1|CANDELARIA|A
4126|2|EL JARDIN|A
4403|1|LA CANDELARIA|A
4126|3|LOS MOGOTES|A
4126|4|TALA-R DE LOS LLANOS|A
4401|1|ATOCHA|A
4400|1|CAMPO CASEROS|A
4401|2|CASTELLANOS|A
4400|2|EL CHAMICAL|A
4401|3|GENERAL ALVARADO|A
4400|3|KILOMETRO 1129|A
4400|4|LAGUNILLA|A
4400|5|LA QUESERA|A
4401|4|LAS COSTAS|A
4401|5|LA UNION-CAPITAL|A
4400|6|LOS NOQUES|A
4400|7|VILLA SOLEDAD|A
4401|6|VELARDES|A
4400|8|VILLA ELNA|A
4401|7|VILLA SAN LORENZO|A
4440|1|CIUDAD DEL MILAGRO|A
4403|2|CERRILLOS|A
4403|3|KILOMETRO 1156|A
4403|4|LA FALDA|A
4421|1|LAS PIRCAS|A
4403|5|RIO ANCHO|A
4421|2|SAN AGUSTIN|A
4421|3|SAN MARTIN-CERRILLOS|A
4421|4|SUMALO|A
4423|1|CHICOANA|A
4423|2|BELLA VISTA|A
4421|5|CALVIMONTE|A
4423|3|CHIVILME|A
4421|6|EL CARRIL|A
4423|4|EL TIPAL|A
4415|4|QUEBRADA DE ESCOIPE|A
4415|5|LAS ANIMAS|A
4415|6|LAS ZANJAS|A
4423|5|POTRERO DE DIAZ|A
4423|6|PULARES|A
4423|7|S FERNANDO DE ESCOIPE|A
4423|8|SAN JOSE DE LA VI#A|A
4428|1|BETANIA|A
4434|6|CABEZA DE BUEY|A
4432|1|CAMPO-SANTO|A
4432|2|CANTERA EL SAUCE|A
4432|3|COBOS|A
4434|7|CRUZ QUEMADA|A
4434|8|EL ALGARROBO|A
4430|1|KILOMETRO 1094|A
4434|9|LAS MESITAS|A
4430|2|LAS VERTIENTES|A
4434|10|LA TRAMPA|A
4430|3|OJO DE AGUA-GRL GUEMES|A
4434|11|PALOMITAS|A
4430|4|PUESTO VIEJO|A
4432|4|SAN MARTIN-GRAL GUEMES|A
4430|5|YASQUIAME|A
4568|1|ACAMBUCO|A
4566|1|AGUARAY|A
4552|1|CAMPICHUELO|A
4566|2|CAMPO DURAN|A
4552|2|CORONEL CORNEJO|A
4552|3|CORRALITO-GRL S MARTIN|A
4554|1|DRAGONES|A
4550|1|EMBARCACION|A
4552|4|GENERAL BALLIVIAN|A
4562|1|GRAL ENRIQUE MOSCONI|A
4554|2|HICKMANN|A
4428|2|KILOMETRO 1102|A
4550|2|KILOMETRO 1306|A
4564|1|KILOMETRO 1448|A
4552|5|LA QUENA|A
4554|3|PADRO LOZANO|A
4554|4|MISTON CHAQUE#A|A
4554|5|MONTE CARMELO|A
4564|2|PIQUIRENDA|A
4554|6|POZO BRAVO|A
4552|6|ANTONIO QUIJARRO|A
4566|3|RIO CARAPAN|A
4552|7|SENDA HACHADA|A
4552|8|SENILLOSA|A
4560|1|TARTAGAL|A
4564|3|TOBANTIRENDA|A
4560|2|TONOSO|A
4564|4|YACUY|A
4560|3|YARIGUARENDA|A
4425|1|ALEMANIA|A
4425|2|EL CEBILAR|A
4425|3|LA POBLACION|A
4425|4|GUACHIPAS|A
4425|5|LOS SAUCES|A
4425|6|PUNTA GRANDE|A
4425|7|SAUCE REDONDO|A
4191|1|VAQUERIA|A
4633|1|CASA GRANDE|A
4633|2|CHIYAYOC|A
4633|3|COLANZULI|A
4633|4|HIGUERAS|A
4633|5|IRUYA|A
4530|1|ISLA DE CA#AS|A
4633|6|RODEO COLORADO|A
4633|7|SAN ANTONIO DE IRUYA|A
4633|8|SAN ISIDRO DEIRUYA|A
4633|9|SAN PEDRO-IRUYA|A
4644|1|VIZCARRA|A
4633|10|VOLCAN HIGUERAS|A
4415|7|EL RODEO|A
4411|1|COBRES|A
4415|8|LA POMA|A
4415|9|MUNANO|A
4400|9|LOS ANDES|A
4413|1|CAIPE|A
4413|2|CHUCULAQUI|A
4411|2|KM 1326|A
4413|3|KILOMETRO 1424|A
4413|4|KM 1506|A
4413|5|LA CASUALIDAD-MINA|A
4411|3|LOS PATOS|A
4411|4|MINA CONCORDIA|A
4413|6|QUEBRADA DEL AGUA|A
4413|7|SALAR DE POCITOS|A
4411|5|SAN ANTONIO D L COBRES|A
4413|8|SOCOMPA|A
4413|9|TACA TACA|A
4413|10|TOLAR GRANDE|A
4413|11|UNQUILLAL|A
4413|12|VEGA DE ARIZARO|A
4440|2|METAN|A
4446|7|ALTO DEL MISTOL|A
4444|1|BAJO GRANDE|A
4440|3|CAMPO ALEGRE|A
4440|4|CANCHAS|A
4434|12|CHILCAS|A
4444|2|EL GALPON|A
4434|13|EL LIBANO|A
4440|5|EL POTRERO-METAN|A
4446|8|EL TUNAL|A
4440|6|ESTECO|A
4434|14|JURAMENTO|A
4440|7|LAS JUNTAS|A
4434|15|LAS VIBORAS|A
4434|16|LUMBRERAS|A
4041|1|METAN VIEJO|A
4442|1|NOGALITO|A
4444|3|OVEJERIA|A
4440|8|PASTIADERO|A
4446|9|POBLACION|A
4415|10|PUNTA DE AGUA|A
4434|17|RIO DE LAS PIEDRAS|A
4446|10|SAN JOSE DE ORQUERAS|A
4440|9|SCHNEIDEWIND|A
4442|2|YATASTO|A
4419|3|MOLINOS|A
4419|4|ANGOSTURA|A
4419|5|BREALITO|A
4419|6|COLOME|A
4419|7|EL CHURCAL|A
4419|8|LURACATAO|A
4419|9|SECLANTAS|A
4530|2|ORAN|A
4531|1|AGUAS BLANCAS|A
4537|2|CHAGUARAL|A
4538|1|EL DESMONTE|A
4552|9|MANUEL ELORDI|A
4538|2|KILOMETRO 1281|A
4534|1|KILOMETRO 1291|A
4533|1|KILOMETRO 1298|A
4530|3|KILOMETRO 1305|A
4537|3|MARTINEZ DEL TINEO|A
4537|4|JERONIMO MATORRAS|A
4534|2|PICHANAL|A
4535|1|POZO CERCADO|A
4534|3|PUESTO DEL MEDIO|A
4530|4|RIO DESEADO|A
4530|5|SAN IGNACIO|A
4530|6|S RAMON D L NUEVA ORAN|A
4534|4|SANTA ROSA-ORAN|A
4538|3|SAUCELITO|A
4533|2|HIPOLITO YRIGOYEN|A
4537|5|YUCHAN|A
4537|6|ESTEBAN DE URIZAR|A
4542|1|URUNDEL|A
4535|2|ALGARROBAL-RIVADAVIA|A
4561|1|ALTO DE LA SIERRA|A
4535|3|ALTO VERDE|A
4561|2|AMBERES|A
4535|4|BELGRANO|A
4554|7|CAPITAN JUAN PAGE|A
4535|5|EL DESTIERRO|A
4561|3|HITO NUMERO 1|A
4561|4|LA PAZ|A
4535|6|LA UNION-RIVADAVIA|A
4554|8|LOS BLANCOS|A
4554|9|MORILLO|A
4554|10|PLUMA DEL PATO|A
4535|7|POZO DEL ZORRO|A
4535|8|POZO VERDE|A
4554|11|RESISTENCIA|A
4561|5|SAN BERNARDO|A
4561|6|SANTA MARIA|A
4535|9|SANTA ROSA|A
4561|7|SANTA VICTORIA|A
4193|1|ALMIRANTE BROWN|A
4193|2|ANTILLA|A
4198|1|ARENAL|A
4198|2|BAJADA DE GAVI|A
4193|3|BALBOA|A
4198|3|CAMARA|A
4193|4|CHA#AR AGUADA|A
4190|1|COCHABAMBA-AP|A
4193|5|COPO QUILE|A
4193|6|EL BORDO|A
4193|7|EL CEIBAL|A
4193|8|EL CONDOR|A
4191|2|EL NARANJO|A
4193|9|EL POTRERO|A
4198|4|HORCONES|A
